Dataset,Notes,Detectability Model,Threshold,Max Score Edges,Peptides Min Detectability,Psi1,Psi2,Spectra Error Rate,False Edges,Proteins,Peptides,Protein Edges,Proteins with Spectra,Proteins Spectra Paths,Target Proteins,Target Proteins associated Spectra,Target Proteins with Spectra,Decoy Proteins,Decoy Proteins associated Spectra,Decoy Proteins with Spectra,Identifiable Proteins Ratio,Score Edges,Peptides with Spectra,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Specificity,Sensitivity,False Negatives Rate,Positive Predictive Value,Negative Predictive Value
old_tests,,1,,,0.99,1,10,0.4,1,13079,30054,25894,1716,4246,109,1756,106,12970,2490,1610,0.0084040092521202,53986,30054,102,10,12960,7,0.9987002064378012,0.9992289899768696,0.9357798165137616,0.0642201834862384,0.9107142857142856,0.9994601681190716
old_tests,,1,,,0.99,1,10,0.4,1,13079,24280,25894,1343,3377,97,1251,97,12982,2126,1246,0.0074718841472808,42978,24280,91,9,12973,6,0.9988531233274716,0.999306732398706,0.9381443298969072,0.0618556701030927,0.91,0.9995377147700132
old_tests,,1,,,0.99,1,10,0.8,1,13079,12547,25894,740,1278,100,427,93,12979,851,647,0.007704753833115,19386,12547,85,9,12970,15,0.9981649973239544,0.9993065721550196,0.85,0.15,0.9042553191489362,0.9988448209472468
old_tests,,1,,,0.99,1,10,0.8,1,13079,12661,25894,738,1209,107,449,94,12972,760,644,0.0082485353068146,19692,12661,94,4,12968,13,0.9987002064378012,0.999691643539932,0.8785046728971962,0.1214953271028037,0.9591836734693876,0.9989985363223172
old_tests,,1,,,0.99,1,10,0.8,1,13079,14114,25894,771,1430,110,474,97,12969,956,674,0.008481764206955,22038,14114,91,7,12962,19,0.998012080434284,0.9994602513686484,0.8272727272727273,0.1727272727272727,0.9285714285714286,0.9985363223172328
old_tests,,1,,,0.99,1,10,0.4,1,13079,25717,25894,1510,4574,113,1404,109,12966,3170,1401,0.0087151010334721,45374,25717,106,10,12956,7,0.9987002064378012,0.9992287521209317,0.9380530973451328,0.0619469026548672,0.913793103448276,0.9994600015428527
old_tests,,1,,,0.99,1,10,0.9,1,13079,9168,25894,516,742,116,218,83,12963,524,433,0.0089485458612975,13538,9168,79,2,12961,37,0.997018120651426,0.9998457147265294,0.6810344827586207,0.3189655172413793,0.9753086419753086,0.9971534082166488
old_tests,,1,,,0.99,1,10,0.9,1,13079,8839,25894,557,738,104,214,81,12975,524,476,0.0080154142581888,13326,8839,68,5,12970,36,0.9968652037617556,0.9996146435452794,0.6538461538461539,0.3461538461538461,0.9315068493150684,0.997232046747655
old_tests,,1,,,0.99,1,10,0.9,1,13079,8974,25894,587,1015,110,268,81,12969,747,506,0.008481764206955,13232,8974,77,2,12967,33,0.9973239544307668,0.999845786105328,0.7,0.3,0.9746835443037974,0.9974615384615384
old_tests,,1,,,0.0,1,10,0.9,2,24629,15186,483101,10330,28386,198,6712,198,24431,21674,10132,0.0081044574515983,19626,15186,130,41,24390,68,0.9955743229526168,0.9983218042650732,0.6565656565656566,0.3434343434343434,0.7602339181286549,0.9972197236078176
old_tests,,1,,,0.0,1,10,0.9,2,24629,14876,483101,10204,26140,199,6575,195,24430,19565,10009,0.00814572247237,19206,14876,134,35,24395,65,0.9959397458280888,0.998567335243553,0.6733668341708543,0.3266331658291457,0.7928994082840237,0.9973426001635324
old_tests,,1,,,0.0,1,10,0.9,2,24629,11715,483101,8744,21169,193,5107,189,24436,16062,8555,0.0078981830086757,15042,11715,113,44,24392,80,0.99496528482683,0.998199377966934,0.5854922279792746,0.4145077720207254,0.7197452229299363,0.996730957829356
old_tests,,1,,,0.0,1,10,0.9,2,24629,14657,483101,10091,25802,198,6511,195,24431,19291,9896,0.0081044574515983,18957,14657,118,43,24388,80,0.9950058873685492,0.9982399410584912,0.5959595959595959,0.4040404040404041,0.7329192546583851,0.9967304234101684
old_tests,,1,,,0.0,1,10,0.9,2,24629,14869,483101,10187,28661,195,6656,195,24434,22005,9992,0.0079806826553163,19302,14869,133,38,24396,62,0.9959397458280888,0.9984447900466564,0.6820512820512821,0.3179487179487179,0.7777777777777778,0.99746504211301
old_tests,,1,,,0.0,1,10,0.8,2,24629,20619,483101,12409,36932,193,9730,193,24436,27202,12216,0.0078981830086757,27462,20619,162,52,24384,31,0.9966299890373136,0.9978719921427402,0.8393782383419689,0.1606217616580311,0.7570093457943925,0.9987302887569116
old_tests,,1,,,0.0,1,10,0.8,2,24629,23350,483101,13324,41063,194,10740,192,24435,30323,13132,0.007939431143851,31221,23350,160,45,24390,34,0.9967923992041902,0.998158379373849,0.8247422680412371,0.1752577319587629,0.7804878048780488,0.9986079266295448
old_tests,,1,,,0.0,1,10,0.8,2,24629,23280,483101,13280,45389,196,10634,194,24433,34755,13086,0.0080219375434862,31158,23280,160,62,24371,36,0.9960209509115272,0.9974624483280808,0.8163265306122449,0.183673469387755,0.7207207207207207,0.998525013315852
old_tests,,1,,,0.0,1,10,0.8,2,24629,21526,483101,12792,37989,199,9790,197,24430,28199,12595,0.00814572247237,28737,21526,164,44,24386,35,0.9967923992041902,0.9981989357347524,0.8241206030150754,0.1758793969849246,0.7884615384615384,0.99856680725605
old_tests,,1,,,0.0,1,10,0.8,2,24629,19391,483101,11990,32548,197,8725,196,24432,23823,11794,0.0080631958087753,25650,19391,161,34,24398,36,0.9971578220796622,0.9986083824492468,0.817258883248731,0.182741116751269,0.8256410256410256,0.9985266432020954
old_tests,,1,,,0.0,1,10,0.4,2,24629,42919,483101,18070,96830,195,21256,194,24434,75574,17876,0.0079806826553163,62580,42919,182,75,24359,13,0.996426976328718,0.996930506671032,0.9333333333333332,0.0666666666666666,0.708171206225681,0.9994666010175612
old_tests,,1,,,0.0,1,10,0.4,2,24629,49974,483101,19006,104708,198,25236,198,24431,79472,18808,0.0081044574515983,73788,49974,189,88,24343,9,0.9960615534532462,0.9963980189104008,0.9545454545454546,0.0454545454545454,0.6823104693140795,0.9996304204993428
old_tests,,1,,,0.0,1,10,0.4,2,24629,44262,483101,18083,83898,197,21966,197,24432,61932,17886,0.0080631958087753,64470,44262,188,75,24357,9,0.9965893864955946,0.9969302554027504,0.9543147208121828,0.0456852791878172,0.714828897338403,0.999630632849052
